,1,6,"Impaled through the back of the head by Obara, one of the Sand Snakes",0%,,Trystane Martell,"Prince of Dorne, betrothed to Myrcella"
,2,6,"Head smashed against a wall by Gregor Clegane, a.k.a The Mountain",0%,,The Flasher,Man who flashes Cersei Lannister during her walk of atonement
,2,6,"Stabbed in the chest by his own son, Ramsay Bolton",0%,,Roose Bolton,"Lord of the Dreadfort, Warden of the North"
,2,6,Mauled to death by Ramsay Boltons dogs,0%,,Walda Bolton,"Wife to Roose Bolton, granddaughter of Walder Frey"
,2,6,Mauled to death by Ramsay Boltons dogs,0%,,Unnamed Bolton Child,Child of Roose and Walda Bolton
,2,6,"Thrown from a bridge by his brother, Euron Greyjoy",0%,,Balon Greyjoy,Lord of the Iron Islands
,3,6,Hanged for treason by Jon Snow,0%,,Alliser Thorne,Acting Lord Commander of the Nights Watch
,3,6,Hanged for treason by Jon Snow,0%,,Olly,Steward of the Nights Watch
true,3,6,Stabbed in the back by Howland Reed and partially decapitated by Ned Stark,0%,,Ser Arthur Dayne,Member of the Kingsguard of King Aerys II Targaryen
,4,6,Stabbed in the neck by Ramsay Bolton,0%,,Osha,Wildling loyal to Rickon Stark
,4,6,Burned alive along with the other khals by Daenerys Targaryen,0%,,Khal Moro,Khal who presides over khalar vezhven
,5,6,Killed by the Night King,25%,"Yes, his body is gone, but with time travel in play Bran could be seeing him again",Three-Eyed Raven,Sorcerer and Brans mentor
,5,6,Committed suicide with explosive device when attacked by Wights to save Bran,0%,,Leaf,Child of the Forest
,5,6,Torn apart by Wights,0%,,Hodor,Servant to the House Stark
true,6,6,Stabbed in the back by Jaime Lannister,0%,,"Aerys II Targaryen, ���The Mad King�۝",Lord of the Seven Kingdoms
,7,6,Hanged by rogue members of the Brotherhood Without Banners,0%,,Brother Ray,Faith of the Seven Septon
,8,6,Hanged by the Hound,0%,,Lem,Member of Brotherhood Without Banners
,8,6,Killed defending Riverrun,50%,We dont actually see the Blackfish killed,Brynden Tully (The Blackfish),Lord of Riverrun
,8,6,Throat slit by the Waif,0%,,Lady Crane,Actress in Braavos
,8,6,Killed by Arya Stark,0%,,The Waif,Acolyte of the Faceless Men
,9,6,Throat cut by Grey Worm,0%,,Razdal mo Eraz,Wise Master
,9,6,Throat cut by Grey Worm,0%,,Belicho Paenymion,Volantis Nobleman
,9,6,Shot with an arrow in the back by Ramsay Bolton,0%,,Rickon Stark,Lord of House Stark
,9,6,Throat torn out and head stabbed by Tormund,0%,,Jon Umber,Lord of House Umber
,9,6,Shot through the eye by Ramsay Bolton,0%,,Wun Weg Wun Dar Wun,Giant in Wildling army
,9,6,Eaten alive by his hounds on the order of Sansa Stark,0%,,Ramsay Bolton,Warden of the North
,10,6,Stabbed by one of Quburns little birds,0%,,Grand Maester Pycelle,Grand Maester in Kings Landing
,10,6,"Stabbed by one of Qyburns little birds, blown up by wildfire",0%,,Lancel,A brother with the Sparrows
,10,6,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,The High Sparrow,High Septon
,10,6,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,Loras Tyrell,Former Lord Commander
,10,6,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,Mace Tyrell,"Lord of Highgarden, Warden of the South"
,10,6,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,Kevan Lannister,Hand of the King
,10,6,Burned alive in a wildfire explosion orchestrated by Cersei,0%,,Margaery Tyrell,Queen of the Seven Kingdoms
,10,6,Committed suicide by jumping from a window following Maergerys death by wildfire as orchestrated by Cersei,0%,,Tommen Baratheon,Lord of the Seven Kingdoms
,10,6,Killed and baked in a pie by Arya Stark,0%,,Walder Rivers,Bastard son of Walder Frey
,10,6,Killed and baked into a pie by Arya Stark,0%,,Lothar Frey,Son of Walder Frey
,10,6,Throat slit by Arya Stark,0%,,Walder Frey,"Lord of the Crossing, Lord of Riverrun"
,10,6,Died after giving birth to Jon Snow during Roberts Rebellion,0%,,Lyanna Stark,"Sister of Eddard Stark, Mother of Jon Snow"
